group_id	user_id	image_id	cluster_image_name	timestamp
6	871	95	140311744419280_13.jpe	1536290857000
38	407	95	140311744419280_13.jpe	1536291345000
59	254	95	140311744419280_13.jpe	1536292042000
60	254	95	140311744419280_13.jpe	1536292043000
95	724	95	140311744419280_13.jpe	1536292555000
113	496	95	140311744419280_13.jpe	1536296165000
135	68	95	140311744419280_13.jpe	1536297074000
158	367	95	140311744419280_13.jpe	1536298073000
26	381	95	140311744419280_13.jpe	1536324365000
38	504	95	140311744419280_13.jpe	1536326966000
127	712	95	140311744419280_13.jpe	1536330372000
86	858	84	140667597218640.jpe	1536331853000
49	108	121	140667704371216_8.jpe	1536332407000
35	671	95	140311744419280_13.jpe	1536334346000
132	21	102	140311755256784_12.jpe	1536337325000
120	475	95	140311744419280_13.jpe	1536339378000
28	134	95	140311744419280_13.jpe	1536341636000
78	912	2	140667704674512_24.jpe	1536342324000
28	862	95	140311744419280_13.jpe	1536343494000
169	337	96	140667610798096.jpe	1536346235000
38	38	102	140311755256784_12.jpe	1536346883000
47	594	95	140311744419280_13.jpe	1536348605000
120	539	96	140667610798096.jpe	1536348616000
120	539	96	140667610798096.jpe	1536348634000
70	543	95	140311744419280_13.jpe	1536349364000
64	670	2	140667704674512_24.jpe	1536349627000
15	670	2	140667704674512_24.jpe	1536349627000
86	256	2	140667704674512_24.jpe	1536351947000
28	749	2	140667704674512_24.jpe	1536352134000
95	95	84	140667597218640.jpe	1536353532000
36	95	84	140667597218640.jpe	1536353533000
48	86	102	140311755256784_12.jpe	1536354996000
61	99	102	140311755256784_12.jpe	1536363359000
135	520	95	140311744419280_13.jpe	1536363924000
135	520	52	140311755257616_2.jpe	1536363952000
177	152	59	140667701666832_31.jpe	1536364070000
19	907	59	140667701666832_31.jpe	1536365016000
176	445	59	140667701666832_31.jpe	1536365698000
64	148	115	140667759462160_12.jpe	1536365879000
3	347	95	140311744419280_13.jpe	1536365889000
1	393	59	140667701666832_31.jpe	1536367614000
113	81	115	140667759462160_12.jpe	1536368212000
176	831	102	140311755256784_12.jpe	1536368236000
99	177	96	140667610798096.jpe	1536368696000
41	533	2	140667704674512_24.jpe	1536368730000
41	533	2	140667704674512_24.jpe	1536368744000
76	699	96	140667610798096.jpe	1536368780000
145	229	96	140667610798096.jpe	1536369100000
48	86	59	140667701666832_31.jpe	1536369773000
176	194	96	140667610798096.jpe	1536370729000
